quelle,typ,ziel,ziel_vorhanden
094973377,Verweis,094951462,True
094956111,Verweis,094937753,True
094936854,Verweis,094946809,True
094936854,Verweis,094974187,True
09492824X,Auszug,NEU-09492824X-28,True
09492824X,Verweis,094970556,True
094962650,Auszug,NEU-094962650-27,True
094962650,Verweis,094947392,True
094965927,Verweis,094977593,True
094939926,Verweis,094961239,True
094970408,Verweis,094959625,True
094954747,Auszug,094974195,True
094954747,Verweis,094974195,True
094964335,Verweis,094964858,True
094957193,Verweis,094957959,True
094928126,Verweis,094973822,True
094959676,Verweis,094963673,True
094960771,Nachtrag,094955905,True
094960771,Verweis,094955905,True
094973423,Verweis,094973229,True
094973423,Verweis,094953104,True
094973423,Verweis,094919763,True
094970505,Verweis,094959498,True
094937575,Auszug,09497358X,True
094937575,Verweis,09497358X,True
094915423,Verweis,NEU-094915423-29,True
094915423,Verweis,094963673,True
094953325,Verweis,094970262,True
094973091,Auszug,094959587,True
094898812,Verweis,094967385,True
NEU-094959587-43,Verweis,094959587,True
094973229,Verweis,094973423,True
094973229,Hauptteil,094953104,True
094973229,Hauptteil,094919763,True
094955905,Hauptteil,094960771,True
094955905,Verweis,094960771,True
094977585,Verweis,094962332,True
094966370,Verweis,094928940,True
094929564,Verweis,094942846,True
094947643,Verweis,094972958,True
NEU-094933774-46,Verweis,094933774,True
094938725,Auszug,NEU-094938725-30,True
094951462,Verweis,094973377,True
094965625,Verweis,094972729,True
09495058X,Verweis,094915970,True
094972370,Auszug,094972680,True
09489888X,Auszug,094926719,True
09497215X,Auszug,094963126,True
094963037,Verweis,094953244,True
094970572,Verweis,094974101,True
094971587,Verweis,094913072,True
094946957,Hauptteil,09495707X,True
094946469,Auszug,NEU-094946469-32,True
094924392,Auszug,094938601,True
094905916,Verweis,094940908,True
094948828,Auszug,094956898,True
094959722,Verweis,09491897X,True
094971897,Verweis,09494721X,True
094954801,Auszug,094969310,True
094954801,Auszug,NEU-094954801-33,True
09494721X,Verweis,094971897,True
094977429,Auszug,094960259,True
094955085,Nachtrag,094922470,True
094920133,Verweis,094970327,True
094953708,Verweis,09494184X,True
094948305,Auszug,094952191,True
094971870,Auszug,094899398,True
094971870,Verweis,094899398,True
094966524,Fortsetzung,094917590,True
094917590,Hauptteil,094966524,True
094971722,Verweis,094937389,True
09497036X,Nachtrag,094968462,True
09497036X,Verweis,094968462,True
094930996,Fortsetzung,094918252,True
094918252,Hauptteil,094930996,True
094954674,Nachtrag,094936951,True
094937389,Verweis,094971722,True
094917213,Fortsetzung,094969930,True
094969930,Hauptteil,094917213,True
094904022,Fortsetzung,094948186,True
094948186,Hauptteil,094904022,True
094953082,Fortsetzung,094957703,True
094904014,Verweis,094975205,True
094957703,Hauptteil,094953082,True
094927553,Volltext,094915113,True
094946701,Fortsetzung,094975256,True
094975256,Hauptteil,094946701,True
095005994,Fortsetzung,095006001,True
095006001,Hauptteil,095005994,True
094950458,Verweis,094974985,True
094927081,Verweis,094977763,True
NEU-09494072X-20,Volltext,09494072X,True
NEU-094954585-21,Volltext,094954585,True
094975264,Volltext,094975191,True
094975264,Verweis,094975191,True
094975213,Volltext,09497442X,True
094975213,Verweis,09497442X,True
094957878,Verweis,09494072X,True
094958092,Verweis,094954585,True
NEU-094929246-22,Volltext,094929246,True
094953740,Volltext,094932085,True
094969337,Verweis,094930511,True
094969337,Fortsetzung,09492788X,True
NEU-094974608-34,Volltext,094974608,True
09492788X,Verweis,094930511,True
09492788X,Volltext,094974608,True
09492788X,Hauptteil,094969337,True
094903506,Fortsetzung,094900094,True
094922810,Nachtrag,094902100,True
NEU-094902100-36,Verweis,094902100,True
094907951,Verweis,094899533,True
094954399,Verweis,094933510,True
094900094,Hauptteil,094903506,True
094921172,Fortsetzung,094909199,True
094974608,Verweis,094930511,True
094974608,Auszug,NEU-094974608-34,True
094974608,Auszug,09492788X,True
094923469,Volltext,094927731,True
094923469,Verweis,094927731,True
094974616,Volltext,094962677,True
094957886,Verweis,09495920X,True
094958572,Verweis,09495920X,True
094929653,Verweis,094899533,True
094929653,Fortsetzung,094926840,True
094926840,Verweis,094899533,True
094926840,Hauptteil,094929653,True
094902100,Hauptteil,094922810,True
094902100,Verweis,NEU-094902100-36,True
094961999,Verweis,09495920X,True
094970726,Fortsetzung,094959196,True
094960941,Verweis,094950059,True
NEU-094950059-23,Volltext,094950059,True
094937796,Verweis,094953945,True
NEU-094953945-24,Volltext,094953945,True
094974519,Verweis,09495920X,True
09497070X,Fortsetzung,094974683,True
094946809,Verweis,094936854,True
094946809,Auszug,NEU-094946809-37,True
NEU-094974187-39,Volltext,094974187,True
094974683,Hauptteil,09497070X,True
094965676,Volltext,094959463,True
094965676,Verweis,094959463,True
094929203,Fortsetzung,094955042,True
094959196,Hauptteil,094970726,True
094927936,Verweis,094958009,True
094932107,Volltext,094974179,True
094932107,Verweis,094974179,True
094929629,Verweis,094899533,True
094954348,Verweis,094951616,True
094954348,Auszug,094930589,True
094954348,Volltext,094930589,True
094958009,Verweis,094927936,True
094914869,Fortsetzung,094914036,True
094955042,Hauptteil,094963630,True
094955042,Hauptteil,094929203,True
094914036,Hauptteil,094914869,True
094974365,Verweis,094961778,True
094974365,Auszug,NEU-094974365-38,True
094974365,Volltext,094916209,True
094959129,Hauptteil,094946728,True
094946728,Fortsetzung,094959129,True
094898642,Verweis,094975361,True
NEU-094974365-38,Volltext,094974365,True
094930589,Volltext,094954348,True
094930589,Verweis,094951616,True
094930589,Auszug,094954348,True
094916209,Verweis,094961778,True
094916209,Auszug,094974365,True
094974462,Fortsetzung,094974128,True
094974128,Hauptteil,094974462,True
094924880,Fortsetzung,095005986,True
094924880,Fortsetzung,09500601X,True
095005986,Hauptteil,094924880,True
09500601X,Hauptteil,094924880,True
NEU-094954089-25,Volltext,094954089,True
09490362X,Verweis,094905053,True
094977704,Nachtrag,094977690,True
094977690,Hauptteil,094977704,True
094953589,Verweis,094953384,True
094974004,Verweis,094952078,True
094961581,Auszug,09497232X,True
094961581,Volltext,09497232X,True
094966346,Fortsetzung,094970777,True
094970777,Hauptteil,094966346,True
094902666,Verweis,094905053,True
094973989,Verweis,09495710X,True
094974322,Volltext,094974284,True
094974322,Verweis,094974284,True
09497232X,Volltext,094961581,True
09497232X,Auszug,094961581,True
094927464,Verweis,094946523,True
094974187,Verweis,094936854,True
094974187,Auszug,NEU-094974187-39,True
NEU-094946809-37,Volltext,094946809,True
094947392,Verweis,094962650,True
NEU-094962650-27,Volltext,094962650,True
094961794,Antwort,NEU-ANTWORT-1,True
NEU-ANTWORT-1,Antrittsrede,094961794,True
094916993,Verweis,094974101,True
094937753,Verweis,094956111,True
094974071,Verweis,09494038X,True
NEU-09494038X-26,Volltext,09494038X,True
09493990X,Verweis,NEU-09493990X-40,True
09497408X,Fortsetzung,094911258,True
094961239,Verweis,094939926,True
094911258,Hauptteil,09497408X,True
094933979,Antwort,NEU-ANTWORT-2,True
NEU-ANTWORT-2,Antrittsrede,094933979,True
094974195,Volltext,094954747,True
094974195,Verweis,094954747,True
NEU-09492824X-28,Volltext,09492824X,True
09495805X,Verweis,094925062,True
NEU-09493990X-40,Verweis,09493990X,True
094964858,Verweis,094964335,True
094973784,Verweis,NEU-094973784-41,True
094970556,Verweis,09492824X,True
NEU-094973784-41,Verweis,094973784,True
094959625,Verweis,094970408,True
094957959,Verweis,094957193,True
094973822,Verweis,094928126,True
094959498,Verweis,094970505,True
094953104,Verweis,094973423,True
094953104,Nachtrag,094973229,True
094953104,Auszug,NEU-094953104-42,True
NEU-094915423-29,Verweis,094915423,True
09497358X,Volltext,094937575,True
09497358X,Verweis,094937575,True
094963673,Verweis,094959676,True
094963673,Verweis,094915423,True
094970262,Verweis,094953325,True
094951004,Antwort,NEU-ANTWORT-3,True
094952949,Antwort,NEU-ANTWORT-3,True
094929831,Antwort,NEU-ANTWORT-3,True
NEU-ANTWORT-3,Antrittsrede,094951004,True
NEU-ANTWORT-3,Antrittsrede,094952949,True
NEU-ANTWORT-3,Antrittsrede,094929831,True
094967385,Verweis,094898812,True
094942846,Verweis,094929564,True
094959587,Volltext,094973091,True
094959587,Verweis,NEU-094959587-43,True
NEU-094953104-42,Volltext,094953104,True
094957533,Fortsetzung,094961735,True
094919909,Verweis,094917558,True
094919909,Verweis,094928215,True
094973083,Antwort,NEU-ANTWORT-4,True
094973113,Antwort,NEU-ANTWORT-4,True
NEU-ANTWORT-4,Antrittsrede,094973083,True
NEU-ANTWORT-4,Antrittsrede,094973113,True
094956758,Antwort,NEU-ANTWORT-5,True
09497327X,Antwort,NEU-ANTWORT-5,True
NEU-ANTWORT-5,Antrittsrede,094956758,True
NEU-ANTWORT-5,Antrittsrede,09497327X,True
NEU-ANTWORT-5,Antrittsrede,094957142,True
094977593,Verweis,094965927,True
094962332,Verweis,094977585,True
094961735,Hauptteil,094957533,True
NEU-094969515-45,Verweis,094969515,True
094919763,Verweis,094973423,True
094919763,Nachtrag,094973229,True
094957142,Antwort,NEU-ANTWORT-5,True
094953279,Nachtrag,NEU-094953279-44,True
094917558,Verweis,094919909,True
094972958,Verweis,094947643,True
094968063,Verweis,094959579,True
NEU-094953279-44,Hauptteil,094953279,True
094960526,Antwort,NEU-ANTWORT-6,True
094960372,Antwort,NEU-ANTWORT-6,True
NEU-ANTWORT-6,Antrittsrede,094960526,True
NEU-ANTWORT-6,Antrittsrede,094960372,True
094962251,Antwort,NEU-ANTWORT-7,True
NEU-ANTWORT-7,Antrittsrede,094962251,True
094969515,Verweis,NEU-094969515-45,True
094959579,Verweis,094968063,True
094928215,Verweis,094919909,True
NEU-094938725-30,Volltext,094938725,True
094915970,Verweis,09495058X,True
094972753,Verweis,094913404,True
094921334,Antwort,NEU-ANTWORT-8,True
NEU-ANTWORT-8,Antrittsrede,094921334,True
094972680,Volltext,094972370,True
094963126,Volltext,09497215X,True
094972729,Verweis,094965625,True
094933774,Verweis,NEU-094933774-46,True
094926719,Volltext,09489888X,True
094926719,Fortsetzung,094926689,True
094921229,Antwort,NEU-ANTWORT-9,True
094960011,Antwort,NEU-ANTWORT-9,True
NEU-ANTWORT-9,Antrittsrede,094921229,True
NEU-ANTWORT-9,Antrittsrede,094960011,True
094972230,Antwort,NEU-ANTWORT-10,True
094921350,Antwort,NEU-ANTWORT-10,True
NEU-ANTWORT-10,Antrittsrede,094972230,True
NEU-ANTWORT-10,Antrittsrede,094921350,True
094936676,Nachtrag,094963770,True
094936676,Verweis,094963770,True
NEU-094907420-47,Verweis,094907420,True
094926689,Hauptteil,094926719,True
094959897,Fortsetzung,094970181,True
094970181,Hauptteil,094959897,True
094963770,Hauptteil,094936676,True
094963770,Verweis,094936676,True
094953244,Verweis,094963037,True
094913072,Verweis,094971587,True
094913404,Verweis,094972753,True
094903255,Antwort,NEU-ANTWORT-11,True
NEU-ANTWORT-11,Antrittsrede,094903255,True
094903999,Antwort,NEU-ANTWORT-12,True
NEU-ANTWORT-12,Antrittsrede,094903999,True
094907420,Verweis,NEU-094907420-47,True
094933111,Antwort,NEU-ANTWORT-13,True
NEU-ANTWORT-13,Antrittsrede,094933111,True
094948534,Verweis,094899746,True
09493813X,Nachtrag,094955417,True
NEU-094955417-93,Verweis,094955417,True
NEU-094954704-108,Verweis,094954704,True
09495707X,Nachtrag,094946957,True
094938601,Volltext,094924392,True
094977224,Nachtrag,094960127,True
094977224,Verweis,094960127,True
094899746,Verweis,094948534,True
094915687,Antwort,NEU-ANTWORT-14,True
094934436,Antwort,NEU-ANTWORT-14,True
094923302,Antwort,NEU-ANTWORT-14,True
NEU-ANTWORT-14,Antrittsrede,094915687,True
NEU-ANTWORT-14,Antrittsrede,094934436,True
NEU-ANTWORT-14,Antrittsrede,094923302,True
NEU-094946469-32,Volltext,094946469,True
094923035,Verweis,094911614,True
094956898,Volltext,094948828,True
094924074,Antwort,NEU-ANTWORT-15,True
NEU-ANTWORT-15,Antrittsrede,094924074,True
NEU-094917604-50,Verweis,094917604,True
094940738,Verweis,094940908,True
094918791,Verweis,NEU-094918791-48,True
094927405,Verweis,094978263,True
094927405,Verweis,094978255,True
094927405,Verweis,094978247,True
094927405,Verweis,094978239,True
094927405,Verweis,094978220,True
094927405,Verweis,094977011,True
094927405,Verweis,NEU-094927405-49,True
094927405,Verweis,094976937,True
094927405,Verweis,094976953,True
094927405,Verweis,094978212,True
094927405,Verweis,094978204,True
094927405,Verweis,094978190,True
094927405,Verweis,094976945,True
094927405,Verweis,094976929,True
094927405,Verweis,094978182,True
094927405,Verweis,094978174,True
094927405,Verweis,094978166,True
094927405,Verweis,094978158,True
094927405,Verweis,09497814X,True
094927405,Verweis,094978131,True
094927405,Verweis,094978123,True
094927405,Verweis,094978115,True
094927405,Verweis,094978107,True
094927405,Verweis,094978093,True
094927405,Verweis,094978085,True
094927405,Verweis,094978077,True
094927405,Verweis,094978069,True
094927405,Verweis,094978050,True
094927405,Verweis,094978042,True
094927405,Verweis,094976880,True
094927405,Verweis,094978034,True
094927405,Verweis,094947325,True
094927405,Verweis,094978026,True
094927405,Verweis,094916306,True
094927405,Verweis,094977127,True
094927405,Verweis,09497702X,True
094927405,Verweis,094978301,True
094927405,Verweis,094978298,True
094927405,Verweis,09497828X,True
094927405,Verweis,094978271,True
094927405,Verweis,09490524X,True
094917604,Verweis,NEU-094917604-50,True
094969310,Volltext,094954801,True
09491897X,Verweis,094959722,True
094977127,Verweis,094927405,True
094977127,Verweis,NEU-094977127-51,True
094977127,Verweis,09497702X,True
094977127,Verweis,094978301,True
094977127,Verweis,094978298,True
094977127,Verweis,09497828X,True
094977127,Verweis,094978271,True
094977127,Verweis,094978263,True
094977127,Verweis,094978255,True
094977127,Verweis,094978247,True
