id,ist_ppn,titel,autor,autor_key,autor_original,jahr,jahr_quelle,reihe,band,band_key,startseite,endseite,abbilder,tafeln,tabellen,figuren,link
094920095,True,Methodus generalis Puncta Stationum in Orbitis Planetariis determinandi,"Hermann, Jakob",hermann-jakob,"Hermann, Jakob",1710,csv,01-misc,1,01-misc/1,197,201,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000221
094898391,True,De simplicissima quadam specie Micrometri,"Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,202,205,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000226
094945519,True,"Occultatio stellae fixae in cornu Australi Tauri o Bayeri, a Saturno facta observata Lipsiae An. 1679 die 7. (17.) Januarii","Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,205,208,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000229
094902860,True,De varia apparentia stellae in collo Cygni,"Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,208,212,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000232
094931941,True,De cometa Anno 1702. Berolini observato,"Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,212,215,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000236
094940576,True,De Cometa matutino Anni 1680,"Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,215,216,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000239
094904189,True,Observatio Conjunctionis Magnae Saturni et Jovis Anno 1702,"Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,216,217,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000240
094915997,True,"De divisione Disci solaris in Camera obscura, Eclipseos observandae gratia","Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,217,218,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000241
094915199,True,"De Mercurio in Sole, Anno 1707","Kirch, Gottfried",kirch-gottfried,"Kirch, Gottfried",1710,csv,01-misc,1,01-misc/1,218,219,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000242
094945373,True,"Observatio Eclipseos Solis totalis cum mora, Anno 1706. die 12. Maji horis antemeridd. habita Norimbergae","Wurzelbau, Johann Philipp von",wurzelbau-johann-philipp-von,"Wurzelbau, Johann Philipp von",1710,csv,01-misc,1,01-misc/1,219,226,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000243
094945934,True,"Observatio magnae Eclipseos Solaris, quae anno 1706. die 12. Maji antemeridiem accidit","Hoffmann, Johann Heinrich",hoffmann-johann-heinrich,"Hoffmann, Johann Heinrich",1710,csv,01-misc,1,01-misc/1,227,240,mit 2 Tafeln,2,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000251
094957975,True,Eclipsis Lunae totalis An. 1707. nocte inter dd. 16. et 17. Aprilis annuente ad votum serenitate Norinbergae observata,"Wurzelbau, Johann Philipp von",wurzelbau-johann-philipp-von,"Wurzelbau, Johann Philipp von",1710,csv,01-misc,1,01-misc/1,242,244,,0,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000266
094952361,True,Eclipsis Lunae Totalis cum mora observata Gedani ex Specula Heveliana Anno 1707. ea nocte qua 16ta dirimitur a 17ma Aprilis St. N. et delineata,"Hecker, Konstantin Gabriel",hecker-konstantin-gabriel,"Hecker, Konstantin Gabriel",1710,csv,01-misc,1,01-misc/1,245,248,mit 1 Tafel,1,0,False,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/01-misc/1/tif/&pn=0000269
