autor_key,autor,jahr_von,jahr_bis,rang,score,gnd,gnd_name,geburt,tod,akademiemitglied,berufe,affiliation,lobid
reiche-karl,"Reiche, Karl",1895,1895,2,0.75,1045161993,"Reiche, Alfred",1850.0,,False,Arzt,,https://lobid.org/gnd/1045161993
reiche-karl,"Reiche, Karl",1895,1895,3,0.67,1046852078,"Reiche, Alfred",1877.0,,False,Tierarzt,,https://lobid.org/gnd/1046852078
lamansky-sergei,"Lamansky, Sergei",1871,1871,1,0.65,117574147,"Lamansky, Sergei J...",,,False,Physiker,,https://lobid.org/gnd/117574147
krause-hermann,"Krause, Hermann",1883,1883,1,0.75,116399295,"Krause, Hermann",1848.0,,False,Arzt,,https://lobid.org/gnd/116399295
krause-hermann,"Krause, Hermann",1883,1883,2,0.75,1215215738,"Krause, Hermann",1854.0,,False,Botaniker,,https://lobid.org/gnd/1215215738
krause-hermann,"Krause, Hermann",1883,1883,3,0.67,125125702X,"Krause, Hermann",1868.0,1935.0,False,Ministerialrat; Ministerialdirektor; Jurist; Amtsrichter,,https://lobid.org/gnd/125125702X
robert-francois,"Robert, François",1793,1793,1,0.75,116575883,"Robert, François",1737.0,1819.0,False,Mathematiker; Geograf,,https://lobid.org/gnd/116575883
robert-francois,"Robert, François",1793,1793,2,0.75,1089214308,"Robert, Pierre-François-Joseph",1763.0,1826.0,False,Politiker; Hochschullehrer; Journalist; Jurist,,https://lobid.org/gnd/1089214308
salomon-wilhelm,"Salomon, Wilhelm",1896,1896,1,0.75,1336256990,"Salomon, Wilhelm",1851.0,,False,Arzt,,https://lobid.org/gnd/1336256990
salomon-wilhelm,"Salomon, Wilhelm",1896,1896,2,0.75,116767340,"Salomon-Calvi, Wilhelm",1868.0,1941.0,False,Geologe; Paläontologe; Hochschullehrer,Universität Heidelberg; Universität Heidelberg. Geologisch-Paläontologisches Institut; Ankara Üniversitesi,https://lobid.org/gnd/116767340
rose-karl,"Röse, Karl",1893,1893,1,0.75,119074699,"Roese, Carl",1864.0,1947.0,False,Zahnarzt; Privatdozent,,https://lobid.org/gnd/119074699
rose-karl,"Röse, Karl",1893,1893,2,0.75,1036374777,"Roese, Eduard",1855.0,1918.0,False,Pädagoge; Schulleiter; Klassischer Philologe; Germanist,,https://lobid.org/gnd/1036374777
rose-karl,"Röse, Karl",1893,1893,3,0.75,1143128621,"Rosa, Carl",1842.0,1889.0,False,Musiker; Dirigent; Theaterintendant; Geiger,Conservatorium der Musik,https://lobid.org/gnd/1143128621
busse-friedrich,"Busse, Friedrich",1896,1896,1,0.75,133985989,"Busse, Friedrich Ernst von",1828.0,1916.0,False,Politiker; Abgeordneter; Gutsherr,Deutsches Reich. Reichstag,https://lobid.org/gnd/133985989
busse-friedrich,"Busse, Friedrich",1896,1896,2,0.75,129625450,"Busse, Paul",1862.0,,False,Arzt,,https://lobid.org/gnd/129625450
busse-friedrich,"Busse, Friedrich",1896,1896,3,0.65,136187188,"Busse, Friedrich",1835.0,1898.0,False,Reeder,,https://lobid.org/gnd/136187188
krause-wilhelm,"Krause, Wilhelm",1886,1886,1,0.75,116400218,"Krause, Wilhelm",1833.0,1902.0,False,Arzt,,https://lobid.org/gnd/116400218
krause-wilhelm,"Krause, Wilhelm",1886,1886,2,0.75,1076138462,"Krause, Wilhelm",1845.0,,False,Arzt,,https://lobid.org/gnd/1076138462
krause-wilhelm,"Krause, Wilhelm",1886,1886,3,0.75,1141609479,"Krause, Wilhelm",1863.0,1935.0,False,Grafiker; Oberlehrer,Handwerker- und Kunstgewerbeschule Breslau,https://lobid.org/gnd/1141609479
kruger-martin,"Krüger, Martin",1898,1898,1,0.75,101331753X,"Krüger, Martin Hermann",1866.0,,False,Chemiker,,https://lobid.org/gnd/101331753X
kruger-martin,"Krüger, Martin",1898,1898,2,0.75,1331102650,"Krüger, Martin",1865.0,,False,Arzt,,https://lobid.org/gnd/1331102650
saint-auban-marquis-de,"Saint-auban, Marquis de",1782,1782,1,0.47,130583901,"Baratier, Jacques Antoine",1713.0,1783.0,False,Generalleutnant,,https://lobid.org/gnd/130583901
sala-luigi,"Sala, Luigi",1893,1893,1,0.65,117600245,"Sala, Luigi",,,False,Arzt,,https://lobid.org/gnd/117600245
