Startseite,Endseite,Abbilder,ID,Titel,Autor,Jahr,Link,Schriftenreihe,Band,Textbeziehungen
331,338,,09497618X,"Von der Figur der Schneeflocken, die im Februar 1736 in Zütphen gefallen sind","Lulofs, Johan",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000342,04-phys,2,
339,341,,094937443,Von der Harmonie und Disharmonie der einfachen Barometer,"Grischow, Augustin",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000350,04-phys,2,
341,343,,094938423,Physikalische Beobachtung der Ausdünstung des Quecksilbers im leeren Raume,"Ludolff, Christian Friedrich",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000352,04-phys,2,
344,345,,094930325,"Beschreibung eines Zirkels um die Sonne, der zu Berlin 1733 den 13ten April altes Stils einige Stunden vor und nach Mittag gesehen wurde. Fig. 45","Wagner, Johann Wilhelm",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000355,04-phys,2,
345,355,,094926964,"Von der Verfertigung harmonirender Thermometer, wenn auch nur ein einziger Grad der Wärme als bestimmt und unveränderlich angenommen wird","Ludolff, Christian Friedrich",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000356,04-phys,2,
355,391,,094930295,Vergleichung der vornehmsten Thermometer,"Grischow, Augustin",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000366,04-phys,2,
392,394,,094930376,Beobachtungen der strengsten Kälte in Berlin von dem Anfange dieses Jahrhundertes bis 1740,"Grischow, Augustin",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000403,04-phys,2,
394,399,,09497585X,Sammlung von auswärtigen Beobachtungen der strengsten Kälte im Winter 1740,"Grischow, Augustin",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000405,04-phys,2,
400,406,,094976198,Eines Ungenannten Gedanken von der Ursache der Schwehre,Ohne Angabe Des Verfassers,1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000411,04-phys,2,
407,416,,094959005,Von einer neuen Art des Farbenklaviers,"Krüger, Johann Gottlob",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000418,04-phys,2,
416,417,,09495285X,Von dem Neste des Pfingstvogels,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000427,04-phys,2,
418,421,,094965633,Beobachtungen über drey Arten der Lampreten,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000429,04-phys,2,
421,422,,094932263,Von dem Bandwurme mit dem Kopfe taenia capitata,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000432,04-phys,2,
423,424,,094964750,Von den gezahnten Knochen auf beyden Floßfedern des Bauches der Karpen,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000434,04-phys,2,
424,425,,094961093,Gobius capitatus,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000435,04-phys,2,
425,426,,094927677,Von einem Meerschwein (phocaena) das in einem gewissen See in Pommern gefunden wurde,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000436,04-phys,2,
427,430,,09496727X,Von einem in der Mark Brandenburg gefangenen Taucher (mergus) der dem Chinesischen Taucher (piscator Franz. Cormoran) sehr ähnlich war,"Frisch, Johann Leonhard",1781,https://digilib.bbaw.de/digitallibrary/digilib.html?fn=silo10/Bibliothek.tiff/04-phys/2/tif/&pn=0000438,04-phys,2,
